source,target,weight
Text to 3D and 4D,Stable Diffusion,3
Tim Reutermann,Bitcoin,2
Tim Reutermann,Blockchain,2
Time Series Forecasting,Llama,0.2
Tokenization,Blockchain,1
Tokenization,Money,1
Training and fine tuning,Large language models,2
Training and fine tuning,RAG,2
Training and fine tuning,Safety and alignment,1
Training and fine tuning,Semantic Web,1
Transformers,OpenAI,0.1
Trust and Safety,Agents,1
Trust and Safety,Conspiracies,1
Trust and Safety,Facebook Meta,1
Trust and Safety,Global Inequality,1
Trust and Safety,Landscape,1
Trust and Safety,Large language models,1
Trust and Safety,Llama,1
Trust and Safety,Machine Learning,1
Trust and Safety,Money,1
Trust and Safety,NVIDIA Omniverse,1
Upscaling,ComfyUI,2.8
Upscaling,Education,0.2
Upscaling,Stable Diffusion,1
Virtual Production,Mixed reality,1
Vision Pro,Apple,3
Vision Pro,Money,1
Visionflow,Landscape,1
Visionflow,Machine Learning,2
Visionflow,Robotics,4
Visionflow,Virtual Production,11
artificial superintelligence,OpenAI,0.2
contents,Convergence,1
contents,Deep Learning,1
contents,Recent Projects,1
cypherpunk,Money,1
ecash,Bitcoin,8
ecash,Blockchain,4
ecash,Cashu,2
flossverse,Machine Learning,1
flossverse,Mixed reality,1
flossverse,Money,2
flossverse,collaborative,1
infrastructure,Money,0.1
infrastructure,Trust and Safety,1
latent space,Artificial Intelligence,1
latent space,OpenAI,1
multimodal,Apple,2.2
multimodal,ChatGPT,1
multimodal,Deepmind,1
multimodal,Gemini,2.1
multimodal,Large language models,3
multimodal,OpenAI,1
multimodal,Transformers,0.1
multimodal,latent space,1
nostr,Agents,2
nostr,Bitcoin,4
nostr,Digital Objects,2
nostr,Distributed Identity,2
nostr,Mixed reality,1
nostr,RGB,2
nostr,collaborative,2
nostr,infrastructure,3
qlora,Large language models,1
relighting,AI Video,1
relighting,Apple,0.4
relighting,ComfyUI,1.2
